scenario_tag,architecture,run_id,lane2_open,lane3_open,WCR_event,PCR_event,ECL_m,DOC,Ttravel_s,Tdelay_s,commit_ratio,hold_ratio,abort_entry_ratio,wrong_commit_ratio,premature_commit_ratio,confirmable_noncommit_ratio,first_commit_distance_m,first_abort_distance_m,first_confirmable_distance_m,mean_attr_truth,mean_z_open,mean_z_attr,mean_z_conflict,mean_b_pass,min_gate_time_wrong_commit_s,total_cost,unsafe_commit_cost,premature_commit_cost,late_confirmation_cost,unnecessary_merge_cost,oscillation_cost,efficiency_cost
adjacent_open_risk,camera_only,49.27160493827161,1.0,0.0,1.0,0.0,,2.7901234567901234,4.269135802469137,0.2083579450858147,0.459150313754707,0.17447590232110574,0.0,0.459150313754707,0.0,0.0,35.71231619944051,,,0.14203947476168186,0.5145568934475148,0.1809305374214788,0.33293875214328755,0.20747836267517322,0.04519874740757722,19.962160067463603,1.960493827160494,0.0,0.0,0.0,0.27901234567901234,0.15641890035930403
adjacent_open_risk,multi_sensor_permissive,49.27160493827161,1.0,0.0,0.06172839506172839,0.0,,1.5185185185185186,4.598765432098766,0.5379875747154433,0.00243605098154194,0.6691940940020527,0.0035185172383106274,0.00243605098154194,0.0,0.0,12.142517815417166,18.7476178951811,,0.14298418651285216,0.5316933553720421,0.18231508705624497,0.337601710426022,0.11224712711595396,inf,0.5110291254834379,0.011111111111111112,0.0,0.0,0.0,0.15185185185185185,0.49613232504095
adjacent_open_risk,mitigation,49.27160493827161,1.0,0.0,0.0,0.0,,2.074074074074074,4.6950617283950615,0.6342838710117393,0.0,0.38135685162849087,0.29872370316402214,0.0,0.0,0.0,,21.18006670890366,,0.1429849613105654,0.5337414093653169,0.18295289982837137,0.33792716871152734,0.0552693093447311,inf,0.5050429567886247,0.0,0.0,0.0,0.0,0.20740740740740743,0.5952710987624346
both_closed,camera_only,19.5,0.0,0.0,0.0,0.0,,6.0,3.800000000000002,0.07527887968319869,0.0,0.14379764379764381,0.04054054054054054,0.0,0.0,0.0,,20.45640015376645,,0.08971644204827998,0.15257264237248683,0.13925328816355598,0.25154731237273376,0.0563511530776535,inf,0.6337650537774806,0.0,0.0,0.0,0.0,0.6000000000000001,0.06753010755496111
both_closed,multi_sensor_permissive,19.5,0.0,0.0,0.0,0.0,,6.0,4.000000000000002,0.2752788796831984,0.0,0.37398373983739835,0.02564102564102564,0.0,0.0,0.0,,18.634715971383123,,0.09020979973497753,0.15198938517598692,0.1493348577722045,0.2549559415508872,0.027269330317843756,inf,0.7325555054843269,0.0,0.0,0.0,0.0,0.6000000000000001,0.26511101096865397
both_closed,mitigation,19.5,0.0,0.0,0.0,0.0,,2.0,4.300000000000001,0.5752788796831974,0.0,0.38365800865800864,0.3024891774891775,0.0,0.0,0.0,,21.121223256217228,,0.0906431960333973,0.15212619680463108,0.14828490129277885,0.2564112654770355,0.011580726959104715,inf,0.46240225316968153,0.0,0.0,0.0,0.0,0.2,0.524804506339363
both_open,camera_only,59.1,1.0,1.0,0.0,1.0,20.54929358579755,2.4,4.24,0.1853131286941184,0.5357689885887108,0.09473237082671268,0.0,0.0,0.264801358006869,0.0,41.64309582174852,,21.093802235950967,0.5369009253198069,0.5124163071405359,0.5781572267779168,0.2775173359782298,0.37614639287147966,inf,4.744168641530473,0.0,1.11,0.0,0.0,0.24000000000000005,0.12833728306094633
both_open,multi_sensor_permissive,59.1,1.0,1.0,0.0,1.0,20.17955214492712,8.2,4.390000000000001,0.3353131286941179,0.4734403517504563,0.18487640446539216,0.0,0.0,0.24397128789665007,0.04582183205876585,41.391110489690945,,21.211558344763823,0.5380556960692562,0.5181776445676302,0.5822367632791825,0.27972432226080274,0.31942000829527395,inf,5.522004349932706,0.0,1.06,0.21000000000000002,0.0,0.8200000000000001,0.294008699865412
both_open,mitigation,59.1,1.0,1.0,0.0,0.9,5.936149629647742,4.0,4.55,0.49531312869411737,0.34431203676487027,0.32588676470854777,0.0,0.0,0.11932284694539838,0.053171186204978446,28.572408426031597,,22.636258796383853,0.5386635585698241,0.5244880441218984,0.5814058704816206,0.28261146956309485,0.2652248151532949,inf,3.127712303572553,0.0,0.53,0.25,0.0,0.4,0.4654246071451052
ego_open_only,camera_only,47.0,0.0,1.0,0.0,1.0,23.030484576815876,2.5714285714285716,4.428571428571429,0.17088829519791465,0.541787144657011,0.08703163794702637,0.0,0.0,0.2909210745925244,0.0,42.139784660678615,,19.109300083862735,0.749899702420201,0.4950935897535924,0.7914584652490545,0.28029828016101843,0.44857754806581884,inf,5.523853268345073,0.0,1.3,0.0,0.0,0.2571428571428572,0.13342082240443245
ego_open_only,multi_sensor_permissive,47.0,0.0,1.0,0.0,1.0,28.966944712346237,7.714285714285714,4.571428571428571,0.3137454380550571,0.5549041636663642,0.1046618507687718,0.0,0.0,0.3358723537627708,0.03647033238869973,47.967970471767835,,19.001025759421598,0.7520634116669312,0.4979581315885276,0.7963651172364672,0.2815401036645763,0.41253095544212076,inf,7.316749453671005,0.0,1.542857142857143,0.15714285714285717,0.0,0.7714285714285715,0.2763560501991516
ego_open_only,mitigation,47.0,0.0,1.0,0.0,1.0,17.85918989660662,3.142857142857143,4.7142857142857135,0.45660258091219946,0.4674896480331263,0.19647515527950313,0.0,0.0,0.2276190476190476,0.02,37.17730093028439,,19.318111033677773,0.7525173205484882,0.5024822136445757,0.7950900127800739,0.2814791515533339,0.35059931552479984,inf,4.985713688051673,0.0,1.0857142857142859,0.08571428571428573,0.0,0.31428571428571433,0.39999880467477184
